Country,patents_number,Year,ISO,Total Deaths,total_affected,total_damage,Tertiary,GDP,Population,FDI,consumption
belarus,0.0,1993,blr,0.0,40000.0,202588.0,43.0419387817383,1590.0881171141064,10239050.0,17600000.0,74.7208121827411
belarus,2.0,1995,blr,13.0,282.0,0.0,39.7630500793457,1370.6992828229136,10193831.0,14700000.0,79.6380649572086
belarus,0.0,1996,blr,0.0,0.0,0.0,43.0518112182617,1452.5071047645972,10159569.0,104500000.0,80.5560913057303
belarus,0.0,1997,blr,5.0,21995.0,60166.0,43.182071685791,1396.4420190088101,10117433.0,351600000.0,77.3818935201592
belarus,0.0,1999,blr,56.0,2078.0,7695.0,49.4420700073242,1210.6117195862003,10026738.0,444000000.0,78.1469261720836
belarus,0.0,2000,blr,0.0,0.0,51495.0,51.8044013977051,1276.288034099996,9979610.0,118800000.0,76.3891261030458
belarus,1.0,2003,blr,31.0,31.0,0.0,59.4798316955566,1819.5257919602986,9796749.0,171800000.0,78.5096595632959
belarus,1.0,2006,blr,5.0,1820.0,0.0,66.4904403686523,3848.216026300835,9604924.0,357100000.0,70.6828819054588
belarus,2.0,2007,blr,0.0,0.0,14115.0,69.5346298217773,4735.4847531843325,9560953.0,1807300000.0,70.334265421915
belarus,1.0,2012,blr,0.0,130.0,0.0,98.5973968505859,6953.217306879529,9446836.0,1463600000.0,61.618318068094
belarus,3.0,2013,blr,4.0,11325.0,0.0,101.424392700195,7998.077952847145,9443211.0,2246100000.0,64.6861695108832
belarus,2.0,2014,blr,2.0,31500.0,0.0,99.8547286987305,8341.288103765333,9448515.0,1862000000.0,66.5818637610296
belarus,2.0,2017,blr,43.0,50539.0,0.0,91.3261489868164,5785.534975254524,9458989.0,1276300000.0,70.1091273593827
belarus,5.0,2018,blr,0.0,50000.0,0.0,84.5396423339844,6360.05206042843,9438785.0,1426500000.0,69.2928384565075
china (people's republic of),0.0,1979,chn,114.0,576536.0,0.0,1.01013994216919,183.98315221597773,969005000.0,80000.0,62.8950876466451
china (people's republic of),0.0,1980,chn,6491.0,107200.0,568204.0,1.27926003932953,194.804722186836,981235000.0,57000000.0,64.6893707047716
china (people's republic of),0.0,1981,chn,2465.0,3212990.0,7402872.0,2.03558993339539,197.07147449910167,993885000.0,265000000.0,66.4163544200018
china (people's republic of),0.0,1984,chn,144.0,28040.0,0.0,1.90454995632172,250.71396904698756,1036825000.0,1258000000.0,65.7641533345128
china (people's republic of),0.0,1985,chn,2191.0,235899.0,1911960.0,2.19178009033203,294.4588485049599,1051040000.0,1659000000.0,65.0708489538109
china (people's republic of),0.0,1986,chn,924.0,14446346.0,7818870.0,2.77602005004883,281.92812091156304,1066790000.0,1875000000.0,64.8681816248396
china (people's republic of),0.0,1987,chn,1365.0,2590952.0,592789.0,3.04913997650146,251.81195696132875,1084035000.0,2314000000.0,62.7825634409789
china (people's republic of),0.0,1988,chn,4988.0,76257544.0,7857431.0,3.08643007278442,283.5376952405244,1101630000.0,3194000000.0,62.1154740386413
china (people's republic of),0.0,1989,chn,3909.0,138272407.0,9188057.0,3.01467990875244,310.88191240489954,1118650000.0,3393000000.0,64.2831522718963
china (people's republic of),0.0,1990,chn,1820.0,48277220.0,6586688.0,3.00149011611938,317.88467304092774,1135185000.0,3487000000.0,63.6491229673967
china (people's republic of),0.5,1991,chn,5927.0,218880139.0,18844965.0,2.88530993461609,333.14214540018395,1150780000.0,4366000000.0,61.9187915491979
china (people's republic of),0.5,1992,chn,1946.0,28930243.0,3829819.0,2.8197500705719,366.4606923061157,1164970000.0,11156000000.0,59.7152828696155
china (people's republic of),0.0,1993,chn,3050.0,8835022.0,15187016.0,2.93639993667603,377.38983947890046,1178440000.0,27515000000.0,58.3489014706853
china (people's republic of),9.0,1994,chn,4636.0,226378746.0,46282407.0,3.77981996536255,473.4899347194764,1191835000.0,33787000000.0,58.1790541335575
china (people's republic of),9.0,1995,chn,2835.0,143224172.0,14310814.0,4.67359018325806,609.6043622588276,1204855000.0,35849200000.0,59.0622779961577
china (people's republic of),12.0,1996,chn,6315.0,175304799.0,39989319.0,5.29578018188477,709.4158882333685,1217550000.0,40180000000.0,60.0474696669644
china (people's republic of),14.0,1997,chn,2661.0,15841799.0,11672891.0,5.82305002212524,781.7425926472899,1230075000.0,45439000000.0,59.6483947390531
china (people's republic of),14.1667,1998,chn,5348.0,254901804.0,59752509.0,6.2884202003479,828.5946576816633,1241935000.0,45644000000.0,60.4513347312949
china (people's republic of),19.0,1999,chn,2801.0,131416025.0,17794030.0,6.62028980255127,873.2976109691145,1252735000.0,41014000000.0,62.5713075906734
china (people's republic of),38.3333,2000,chn,2594.0,25402607.0,2534279.0,7.55849981307983,959.3604120548512,1262645000.0,42095300000.0,63.5707882794947
china (people's republic of),46.0,2001,chn,2315.0,40371593.0,7353286.0,9.22885990142822,1053.112272017047,1271850000.0,47053000000.0,61.9332490110651
china (people's republic of),77.75,2002,chn,3196.0,285295604.0,10017053.0,11.7157096862793,1148.5141877268925,1280400000.0,53073618897.4036,60.9834432460748
china (people's republic of),71.75,2003,chn,2752.0,219643698.0,26040268.0,14.391209602356,1288.637543239452,1288400000.0,57900937467.3864,58.0219943129336
china (people's republic of),110.8333,2004,chn,2545.0,53102165.0,6704976.0,16.7798404693604,1508.6679459872614,1296075000.0,68117272181.2194,55.236247905557
china (people's republic of),182.7,2005,chn,3108.0,83955872.0,17717051.0,18.5551490783691,1753.414262931879,1303720000.0,104108693867.085,54.3845408996115
china (people's republic of),228.3571,2006,chn,3081.0,88746976.0,18093801.0,20.509880065918,2099.2193422910436,1311020000.0,124082035618.506,52.5724954726515
china (people's republic of),408.25,2007,chn,2209.0,120101369.0,11261586.0,21.4464302062988,2693.95855454419,1317885000.0,156249335203.202,50.9962877444787
china (people's republic of),401.8333,2008,chn,89232.0,136908837.0,151195999.0,21.8546905517578,3468.3270630750435,1324655000.0,171534650311.569,49.773494542726
china (people's republic of),560.5,2009,chn,1144.0,128764797.0,12320148.0,23.2702102661133,3832.2274278698,1331260000.0,131057052869.5,50.0802720363669
china (people's republic of),1051.1667,2010,chn,7998.0,180658433.0,30432969.0,25.2860698699951,4550.473924270812,1337705000.0,243703434558.178,48.9133616672905
china (people's republic of),1359.5833,2011,chn,1375.0,124273739.0,15675078.0,26.8075294494629,5614.385738512287,1345035000.0,280072219149.935,50.1592932814337
china (people's republic of),1512.9,2012,chn,1092.0,44562865.0,25180371.0,29.3250408172607,6300.582352363125,1354190000.0,241213868161.42,51.1426133010245
china (people's republic of),1734.3436,2013,chn,1797.0,27549598.0,44533061.0,32.7620315551758,7020.385682084487,1363240000.0,290928431467.003,51.7171470080408
china (people's republic of),1900.8095,2014,chn,1957.0,64915510.0,35920421.0,43.8821907043457,7636.074222760039,1371860000.0,268097181064.335,52.5249430110843
china (people's republic of),2098.0333,2015,chn,1495.0,3793160.0,22808817.0,47.4353790283203,8016.446015856442,1379860000.0,242489331627.399,53.9908904277606
china (people's republic of),2970.3333,2016,chn,1655.0,72191129.0,54770735.0,49.7083587646484,8094.390375121634,1387790000.0,174749584584.051,55.0387375120357
china (people's republic of),3882.6194,2017,chn,662.0,14890458.0,19681758.0,51.5827713012695,8817.045495663162,1396215000.0,166083755721.649,54.8676084332767
china (people's republic of),4353.1333,2018,chn,510.0,8338212.0,17859708.0,54.0076217651367,9905.406117510398,1402760000.0,235365050036.341,55.057688861952
china (people's republic of),4784.5714,2019,chn,840.0,5343332.0,21344352.0,57.2754402160645,10143.860206037301,1407745000.0,187169822364.755,56.0185730424807
china (people's republic of),6635.0556,2020,chn,546.0,14926277.0,26111644.0,62.2367782592773,10408.719124774723,1411100000.0,253095616058.58,55.330445774732
china (people's republic of),6528.5,2021,chn,580.0,17889036.0,27601735.0,67.3876190185547,12617.504986300362,1412360000.0,344074977062.48,53.9217036541038
cyprus,2.0,2000,cyp,5.0,400.0,0.0,19.5623207092285,14388.34765625,948237.0,854874285.662107,76.990067278082
cyprus,4.5,2003,cyp,0.0,30.0,15909.0,31.9552307128906,20252.23828125,1000350.0,908147517.991038,78.804585774955
cyprus,4.0,2004,cyp,0.0,10.0,0.0,36.0204582214355,23792.62109375,1018684.0,1118841808.54652,78.0534281455514
cyprus,4.0,2005,cyp,31.0,8.0,0.0,34.102180480957,24959.259765625,1037062.0,1161973511.03819,78.0846043793725
cyprus,7.5,2007,cyp,4.0,0.0,0.0,36.2316017150879,31244.92578125,1073873.0,2294635570.943,80.3759443965618
cyprus,3.0,2011,cyp,13.0,62.0,0.0,46.5397300720215,32485.802734375,1145086.0,40445860585.0788,85.0708121326667
cyprus,3.2,2018,cyp,49.0,0.0,0.0,81.3370819091797,29419.88671875,1218831.0,-1110259659.48526,79.5350517323276
cyprus,7.0,2021,cyp,4.0,150.0,50761.0,96.5377883911133,31552.03515625,1244188.0,-33356590448.314,76.6031106848104
denmark,6.0,1980,dnk,0.0,0.0,0.0,28.7279605865479,13883.78450178964,5123027.0,104119701.030049,80.3258898132209
denmark,11.0,1981,dnk,9.0,0.0,804660.0,28.5906105041504,12081.857587309913,5121572.0,99454249.8990494,81.5796078237776
denmark,7.5,1983,dnk,2.0,0.0,0.0,28.9033393859863,11857.902942363671,5114297.0,60130799.9938145,79.4261450963668
denmark,11.0,1984,dnk,0.0,0.0,0.0,28.8124809265137,11562.928382307116,5111619.0,-15356842.1248586,77.7204620182073
denmark,5.0,1985,dnk,0.0,0.0,0.0,28.4415798187256,12253.10985068826,5113691.0,111103417.555728,77.1252625363294
denmark,27.0,1989,dnk,55.0,0.0,0.0,31.5380897521973,21901.129645158933,5132594.0,1089565259.94644,74.881723876217
denmark,26.5,1990,dnk,1.0,0.0,425571.0,34.6175994873047,26891.62750517003,5140939.0,1132146349.95011,73.645501389432
denmark,29.5,1991,dnk,0.0,100.0,0.0,37.8283309936523,27011.55341169681,5154298.0,1552515350.88704,74.1699528934861
