Country,Patents number,Year,ISO,GDP,Population,Patent per Capita,Disaster Type,Total Deaths,Total Affected,"Total Damage, Adjusted ('000 US$)",after chock,is Germany,After Chock Gemrany
germany,265.5333,1990,deu,22303.961326662753,79433029.0,3.3428575410362355e-06,storm,8.0,,2687818.0,0,1,0
germany,265.5333,1990,deu,22303.961326662753,79433029.0,3.3428575410362355e-06,storm,7.0,,1343909.0,0,1,0
germany,265.5333,1990,deu,22303.961326662753,79433029.0,3.3428575410362355e-06,storm,,,134391.0,0,1,0
germany,265.5333,1990,deu,22303.961326662753,79433029.0,3.3428575410362355e-06,storm,10.0,,403173.0,0,1,0
germany,265.5333,1990,deu,22303.961326662753,79433029.0,3.3428575410362355e-06,storm,15.0,,2687818.0,0,1,0
germany,265.5333,1990,deu,22303.961326662753,79433029.0,3.3428575410362355e-06,storm,24.0,,2687818.0,0,1,0
germany,306.0333,1991,deu,23357.757725073017,80013896.0,3.824751890596603e-06,storm,,,10744.0,0,1,0
germany,326.6667,1992,deu,26438.230388841715,80624598.0,4.051700201965658e-06,flood,,,62779.0,0,1,0
germany,346.6167,1993,deu,25522.629573361766,81156363.0,4.27097379905997e-06,storm,,,60776.0,0,1,0
germany,346.6167,1993,deu,25522.629573361766,81156363.0,4.27097379905997e-06,storm,6.0,,769833.0,0,1,0
germany,346.6167,1993,deu,25522.629573361766,81156363.0,4.27097379905997e-06,flood,5.0,100000.0,1215526.0,0,1,0
germany,464.9167,1994,deu,27076.606750140018,81438348.0,5.708817914626657e-06,storm,6.0,,789758.0,0,1,0
germany,464.9167,1994,deu,27076.606750140018,81438348.0,5.708817914626657e-06,flood,,,394879.0,0,1,0
germany,464.9167,1994,deu,27076.606750140018,81438348.0,5.708817914626657e-06,flood,2.0,,382046.0,0,1,0
germany,464.9167,1994,deu,27076.606750140018,81438348.0,5.708817914626657e-06,storm,5.0,,1273880.0,0,1,0
germany,500.1167,1995,deu,31658.349378913532,81678051.0,6.123024409580978e-06,storm,5.0,30000.0,614566.0,0,1,0
germany,500.1167,1995,deu,31658.349378913532,81678051.0,6.123024409580978e-06,storm,,,402540.0,0,1,0
germany,645.0,1996,deu,30485.866548227867,81914831.0,7.874031993058742e-06,storm,,,933.0,0,1,0
germany,705.8667,1997,deu,26964.049467267312,82034771.0,8.60448187269274e-06,extreme temperature,30.0,,,0,1,0
germany,705.8667,1997,deu,26964.049467267312,82034771.0,8.60448187269274e-06,flood,,5200.0,656354.0,0,1,0
germany,857.0,1998,deu,27289.059360319126,82047195.0,1.0445207785592183e-05,storm,3.0,15.0,269300.0,0,1,0
germany,994.15,1999,deu,26734.942536925155,82100243.0,1.210897755808104e-05,flood,7.0,100000.0,755465.0,0,1,0
germany,994.15,1999,deu,26734.942536925155,82100243.0,1.210897755808104e-05,storm,15.0,,2811033.0,0,1,0
germany,994.15,1999,deu,26734.942536925155,82100243.0,1.210897755808104e-05,storm,3.0,,263534.0,0,1,0
germany,1423.0833,2001,deu,23628.327212236705,82349925.0,1.7280930128351666e-05,storm,6.0,,495838.0,0,1,0
germany,1463.75,2002,deu,25197.26560018477,82488495.0,1.7744898849227398e-05,storm,4.0,6.0,244049.0,0,1,0
germany,1463.75,2002,deu,25197.26560018477,82488495.0,1.7744898849227398e-05,storm,7.0,13.0,162699.0,0,1,0
germany,1463.75,2002,deu,25197.26560018477,82488495.0,1.7744898849227398e-05,flood,27.0,330108.0,18873085.0,0,1,0
germany,1463.75,2002,deu,25197.26560018477,82488495.0,1.7744898849227398e-05,storm,11.0,,2928582.0,0,1,0
germany,1396.1167,2003,deu,30310.35759637738,82534176.0,1.691561929448475e-05,storm,5.0,,477263.0,1,1,1
germany,1396.1167,2003,deu,30310.35759637738,82534176.0,1.691561929448475e-05,extreme temperature,9355.0,,2624945.0,1,1,1
germany,1396.1167,2003,deu,30310.35759637738,82534176.0,1.691561929448475e-05,storm,10.0,,,1,1,1
germany,1396.9167,2004,deu,34106.65812240013,82516260.0,1.692898708690869e-05,storm,2.0,,201421.0,1,1,1
germany,1510.3333,2005,deu,34520.23964924959,82469422.0,1.8313858195829236e-05,storm,2.0,2.0,404609.0,1,1,1
germany,1510.3333,2005,deu,34520.23964924959,82469422.0,1.8313858195829236e-05,flood,,450.0,,1,1,1
germany,1510.3333,2005,deu,34520.23964924959,82469422.0,1.8313858195829236e-05,flood,1.0,,329682.0,1,1,1
germany,1510.3333,2005,deu,34520.23964924959,82469422.0,1.8313858195829236e-05,extreme temperature,1.0,165.0,449566.0,1,1,1
germany,1769.8333,2006,deu,36353.8803343631,82376451.0,2.148469955327403e-05,extreme temperature,10.0,,,1,1,1
germany,1769.8333,2006,deu,36353.8803343631,82376451.0,2.148469955327403e-05,storm,10.0,200.0,,1,1,1
germany,1769.8333,2006,deu,36353.8803343631,82376451.0,2.148469955327403e-05,flood,,1000.0,,1,1,1
germany,1769.8333,2006,deu,36353.8803343631,82376451.0,2.148469955327403e-05,storm,1.0,100.0,,1,1,1
germany,1769.8333,2006,deu,36353.8803343631,82376451.0,2.148469955327403e-05,storm,,,,1,1,1
germany,1769.8333,2006,deu,36353.8803343631,82376451.0,2.148469955327403e-05,extreme temperature,2.0,,,1,1,1
germany,2076.9242,2007,deu,41640.0808695147,82266372.0,2.524633272997623e-05,storm,11.0,130.0,7763012.0,1,1,1
germany,2076.9242,2007,deu,41640.0808695147,82266372.0,2.524633272997623e-05,storm,7.0,,,1,1,1
germany,2076.9242,2007,deu,41640.0808695147,82266372.0,2.524633272997623e-05,flood,1.0,,,1,1,1
germany,2478.9167,2008,deu,45612.71062214415,82110097.0,3.019015675989276e-05,storm,5.0,,1631127.0,1,1,1
germany,2478.9167,2008,deu,45612.71062214415,82110097.0,3.019015675989276e-05,storm,3.0,,2038909.0,1,1,1
germany,2501.7917,2009,deu,41650.36782971622,81902307.0,3.054604676764478e-05,extreme temperature,1.0,,,1,1,1
germany,2501.7917,2009,deu,41650.36782971622,81902307.0,3.054604676764478e-05,flood,,,27282.0,1,1,1
germany,2501.7917,2009,deu,41650.36782971622,81902307.0,3.054604676764478e-05,storm,1.0,,68206.0,1,1,1
